function_sequence,recurrence,n_funcs,n_chromosomes,chromosomes,program_count
Unclassified|Protein folding|DNA repair|Unclassified,1,3,1,chry,1
Unclassified|Proteolysis|Cell cycle,1,3,1,chr1,1
Unclassified|Proteolysis|Unclassified|Cytoskeleton,1,3,1,chr2,1
Unclassified|Proteolysis|Unclassified|Cytoskeleton|Unclassified,1,3,1,chr5,1
Unclassified|Proteolysis|Unclassified|Cytoskeleton|Unclassified|Cell cycle|Cytoskeleton,1,4,1,chr17,2
Unclassified|Proteolysis|Unclassified|Kinase|Cytoskeleton,1,4,1,chrx,1
Unclassified|RNA processing|Cell adhesion,1,3,1,chr16,2
Unclassified|RNA processing|Cell cycle|Proteolysis|Protein folding,1,5,1,chr12,7
Unclassified|RNA processing|Cell cycle|Proteolysis|Unclassified|Cell cycle,1,4,1,chr17,1
Unclassified|RNA processing|Chromatin|Nuc acid bind,1,4,1,chr9,1
Unclassified|RNA processing|Phosphatase,1,3,1,chr4,1
Unclassified|RNA processing|Unclassified|Cytoskeleton|Unclassified|Cell cycle,1,4,1,chr5,1
Unclassified|RNA processing|Unclassified|RNA processing|Unclassified|RNA processing|Unclassified|Cytoskeleton|DNA repair,1,4,1,chr10,1
Unclassified|Structural|Cell cycle|Unclassified|RNA processing|Cell cycle,1,4,1,chr1,1
Unclassified|Structural|RNA processing,1,3,1,chr2,1
Unclassified|Transcription|Chromatin|RNA processing,1,4,1,chr12,1
Unclassified|Transcription|Chromatin|Unclassified,1,3,1,chr7,1
Cell adhesion|Cell cycle|Chromatin,1,3,1,chr1,1
Unclassified|Ubiquitin|Chromatin,1,3,1,chr4,1
Cell adhesion|Cell cycle|Unclassified,1,3,1,chr9,1
Cell adhesion|Chromatin|RNA processing|Unclassified|Cell cycle,1,5,1,chr14,1
Cell adhesion|Chromatin|Unclassified|Chromatin|Cytoskeleton|Chromatin,1,4,1,chr17,1
Cell adhesion|RNA processing|Unclassified|Cytoskeleton,1,4,1,chr1,3
Cell adhesion|Transcription|Unclassified|Cell cycle,1,4,1,chr13,3
Cell adhesion|Ubiquitin|Chromatin|RNA processing,1,4,1,chr1,1
Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,5,1,chr14,1
Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Transcription,1,5,1,chr14,1
Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,5,1,chr14,4
Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,5,1,chr14,2
Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,5,1,chr14,8
Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription|Chromatin|Transcription|Chromatin|Transcription|Chromatin,1,6,1,chr14,2
Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,5,1,chr14,2
Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Transcription,1,5,1,chr14,6
Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,5,1,chr14,2
Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,5,1,chr14,4
Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription|Chromatin|Transcription|Chromatin|Transcription|Chromatin,1,6,1,chr14,2
Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,5,1,chr14,2
Cell adhesion|Unclassified|Cell cycle|Methylation|Transcription,1,5,1,chr14,6
Cell adhesion|Unclassified|DNA repair,1,3,1,chr19,1
Cell adhesion|Unclassified|Kinase|Cell cycle|Unclassified,1,4,1,chr15,1
Cell cycle|Cell adhesion|Chromatin|Cell adhesion,1,3,1,chr11,1
Cell cycle|Chromatin|Cell adhesion,1,3,1,chr1,2
Cell cycle|Chromatin|Cytoskeleton|DNA repair,1,4,1,chr18,1
Cell cycle|Chromatin|RNA processing|Nuc acid bind,1,4,1,chr16,2
Cell cycle|Chromatin|RNA processing|Transcription,1,4,1,chr19,1
Cell cycle|Chromatin|Structural|Cell cycle,1,3,1,chr2,1
Cell cycle|Chromatin|Transcription|Chromatin,1,3,1,chr1,3
Cell cycle|Chromatin|Transcription|Chromatin|RNA processing,1,4,1,chr5,1
Cell cycle|Chromatin|Unclassified|DNA repair,1,4,1,chr1,1
Cell cycle|Chromatin|Unclassified|Kinase|Cell cycle,1,4,1,chr11,1
Cell cycle|Chromatin|Unclassified|Ubiquitin,1,4,1,chr17,2
Cell cycle|Cytoskeleton|Unclassified,1,3,1,chr17,1
Cell cycle|GTPase|Structural|Transcription|Chromatin|Transcription|Chromatin|Methylation|Cell cycle,1,6,1,chr1,2
Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,3,1,chr14,12
Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,3,1,chr14,18
Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription|Chromatin|Transcription|Chromatin|Transcription|Chromatin,1,4,1,chr14,6
Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,3,1,chr14,6
Cell cycle|Nuc acid bind|Chromatin|Unclassified,1,4,1,chr4,1
Cell cycle|RNA processing|Cell cycle|Chromatin,1,3,1,chr4,1
Cell cycle|RNA processing|Cytoskeleton|Unclassified,1,4,1,chr2,1
Cell cycle|RNA processing|Unclassified|Chromatin|Cytoskeleton,1,5,1,chr10,1
Cell cycle|Transcription|Chromatin,1,3,1,chr22,1
Cell cycle|Transcription|Chromatin|RNA processing,1,4,1,chr17,1
Cell cycle|Transcription|Chromatin|RNA processing|Chromatin,1,4,1,chr9,1
Cell cycle|Ubiquitin|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified,1,4,1,chr19,1
Cell cycle|Unclassified|Chromatin|Cytoskeleton|DNA repair,1,5,1,chr2,1
Cell cycle|Unclassified|Cytoskeleton|Cell adhesion,1,4,1,chr16,2
Cell cycle|Unclassified|Cytoskeleton|Chromatin,1,4,1,chrx,1
Cell cycle|Unclassified|Cytoskeleton|Kinase,1,4,1,chr8,1
Cell cycle|Unclassified|Cytoskeleton|Protein folding,1,4,1,chr7,1
Cell cycle|Unclassified|Cytoskeleton|Unclassified,1,3,1,chr1,4
Cell cycle|Unclassified|Kinase,1,3,1,chr7,1
Cell cycle|Unclassified|Kinase|Cell cycle,1,3,1,chr2,1
Cell cycle|Unclassified|Kinase|Cytoskeleton,1,4,1,chr1,1
Cell cycle|Unclassified|Kinase|DNA repair,1,4,1,chr17,1
Cell cycle|Unclassified|RNA processing,1,3,1,chr3,1
Cell cycle|Unclassified|RNA processing|Cell cycle,1,3,1,chr1,1
Chromatin|Cell adhesion|Cell cycle,1,3,1,chr19,1
Chromatin|Cell adhesion|Cytoskeleton,1,3,1,chr11,2
Chromatin|Cell adhesion|RNA processing,1,3,1,chr19,1
Chromatin|Cell adhesion|RNA processing|Chromatin,1,3,1,chr9,1
Chromatin|Cell adhesion|Transcription,1,3,1,chr11,1
Chromatin|Cell adhesion|Unclassified|Cell cycle|Chromatin,1,4,1,chr12,1
Chromatin|Cell cycle|Chromatin|Structural,1,3,1,chr1,1
Chromatin|Cytoskeleton|Cell cycle|Unclassified,1,4,1,chr7,1
Chromatin|Cytoskeleton|DNA repair|Unclassified|Structural|Ubiquitin|Cytoskeleton,1,6,1,chr2,1
Chromatin|Cytoskeleton|Unclassified|Cytoskeleton|DNA repair,1,4,1,chr12,4
Chromatin|RNA processing|Cell adhesion,1,3,1,chr18,1
Chromatin|RNA processing|Transcription,1,3,1,chr6,1
Chromatin|RNA processing|Unclassified,1,3,1,chr12,2
Chromatin|RNA processing|Unclassified|Cytoskeleton|DNA repair,1,5,1,chr17,4
Chromatin|Structural|Cell cycle|Chromatin,1,3,1,chr17,3
Chromatin|Structural|Cell cycle|Chromatin|Unclassified|Transcription,1,5,1,chr20,1
Chromatin|Structural|Cell cycle|RNA processing,1,4,1,chr9,1
Chromatin|Structural|Chromatin|Structural|Unclassified|Cytoskeleton|DNA repair,1,5,1,chr1,1
Chromatin|Structural|Chromatin|Transcription|Chromatin|Transcription,1,3,1,chr16,1
Chromatin|Structural|Cytoskeleton,1,3,1,chr11,1
Chromatin|Structural|Phosphatase,1,3,1,chr11,1
Chromatin|Structural|RNA processing|Cell cycle|Chromatin,1,4,1,chr9,1
Chromatin|Structural|RNA processing|Chromatin,1,3,1,chr1,1
Chromatin|Structural|RNA processing|Structural,1,3,1,chr1,2
Chromatin|Structural|RNA processing|Unclassified|Cell cycle,1,5,1,chr2,1
Chromatin|Structural|RNA processing|Unclassified|Chromatin|Cytoskeleton|DNA repair,1,6,1,chr1,1
Chromatin|Structural|Unclassified|Proteolysis|Unclassified,1,4,1,chr14,1
Chromatin|Transcription|Chromatin|Phosphatase|Unclassified,1,4,1,chr18,1
Chromatin|Transcription|Chromatin|Structural,1,3,1,chr1,1
Chromatin|Transcription|Chromatin|Unclassified|Kinase|Protein folding,1,5,1,chr14,2
Chromatin|Transcription|RNA processing,1,3,1,chr12,1
Chromatin|Transcription|Unclassified,1,3,1,chr4,1
Chromatin|Transcription|Unclassified|Kinase|Cell cycle,1,5,1,chr15,1
Chromatin|Unclassified|Cell cycle|DNA repair,1,4,1,chr8,1
Chromatin|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,5,1,chr14,4
Chromatin|Unclassified|Cell cycle|Structural,1,4,1,chr9,1
Chromatin|Unclassified|Cell cycle|Unclassified|Cytoskeleton|Unclassified|Cytoskeleton|Unclassified,1,4,1,chr11,2
Chromatin|Unclassified|Chromatin|Cytoskeleton,1,3,1,chr7,1
Chromatin|Unclassified|Chromatin|Cytoskeleton|DNA repair,1,4,1,chr4,1
Chromatin|Unclassified|Chromatin|Cytoskeleton|Transcription,1,4,1,chr3,1
Chromatin|Unclassified|Chromatin|DNA repair,1,3,1,chr20,1
Chromatin|Unclassified|Chromatin|Transcription,1,3,1,chr3,1
Chromatin|Unclassified|Kinase|Cell cycle,1,4,1,chr19,1
Chromatin|Unclassified|Kinase|Cell cycle|Cytoskeleton,1,5,1,chr11,1
Chromatin|Unclassified|Kinase|Chromatin,1,3,1,chr5,1
Chromatin|Unclassified|Methylation,1,3,1,chr16,1
Chromatin|Unclassified|Protein folding,1,3,1,chr10,1
Chromatin|Unclassified|RNA processing,1,3,1,chr17,1
Chromatin|Unclassified|RNA processing|Cytoskeleton|Unclassified|Cytoskeleton,1,4,1,chr19,1
Chromatin|Unclassified|Transcription|Chromatin,1,3,1,chr1,1
Chromatin|Unclassified|Transcription|RNA processing,1,4,1,chr5,1
Chromatin|Unclassified|Ubiquitin|Cytoskeleton,1,4,1,chr1,1
Cytoskeleton|Cell cycle|Chromatin|Unclassified|Cell cycle|Cytoskeleton,1,4,1,chr12,2
Cytoskeleton|Cell cycle|Unclassified|Kinase|Cell cycle,1,4,1,chr22,1
Cytoskeleton|Chromatin|Cell adhesion|RNA processing,1,4,1,chr12,1
Cytoskeleton|Chromatin|Phosphatase,1,3,1,chr16,2
Cytoskeleton|Chromatin|RNA processing,1,3,1,chr16,2
Cytoskeleton|Chromatin|Structural,1,3,1,chr20,1
Cytoskeleton|Chromatin|Structural|DNA repair,1,4,1,chr1,1
Cytoskeleton|Chromatin|Unclassified,1,3,1,chr16,1
Cytoskeleton|DNA repair|Cell cycle|Chromatin,1,4,1,chr1,3
Cytoskeleton|DNA repair|Chromatin|Cytoskeleton|Chromatin|Cytoskeleton|DNA repair,1,3,1,chr6,1
Cytoskeleton|DNA repair|Unclassified|Cell cycle,1,4,1,chr19,1
Cytoskeleton|DNA repair|Unclassified|DNA repair,1,3,1,chr13,2
Cytoskeleton|DNA repair|Unclassified|Kinase|Cell cycle|Chromatin,1,6,1,chr19,1
Cytoskeleton|DNA repair|Unclassified|RNA processing|Unclassified,1,4,1,chr16,4
Cytoskeleton|Protein folding|Unclassified|Cytoskeleton|DNA repair,1,4,1,chr17,2
Cytoskeleton|Protein folding|Unclassified|RNA processing|Cytoskeleton|Unclassified,1,4,1,chr9,1
Cytoskeleton|Proteolysis|Unclassified,1,3,1,chr2,1
Cytoskeleton|RNA processing|Unclassified|Chromatin,1,4,1,chr4,1
Cytoskeleton|RNA processing|Unclassified|Cytoskeleton|Unclassified|DNA repair,1,4,1,chr17,1
Cytoskeleton|RNA processing|Unclassified|RNA processing,1,3,1,chr10,1
Cytoskeleton|Structural|Unclassified|Cell cycle|Chromatin,1,5,1,chr1,1
Cytoskeleton|Unclassified|Proteolysis|Unclassified|Cell cycle,1,4,1,chr1,1
Cytoskeleton|Unclassified|RNA processing|Unclassified|Cytoskeleton|DNA repair,1,4,1,chr1,4
Cytoskeleton|Unclassified|Transcription,1,3,1,chr17,1
DNA repair|Cell cycle|Chromatin|RNA processing,1,4,1,chr5,1
DNA repair|Nuc acid bind|Unclassified|Cell adhesion,1,4,1,chr1,2
DNA repair|Unclassified|Cell cycle,1,3,1,chr3,1
Ion channel|Chromatin|RNA processing,1,3,1,chr1,2
Kinase|Cell cycle|Chromatin|Transcription|Chromatin|Unclassified,1,5,1,chr1,1
Kinase|Cell cycle|RNA processing|Unclassified|DNA repair,1,5,1,chr2,1
Kinase|RNA processing|Unclassified|Cytoskeleton|Unclassified|Cell cycle,1,5,1,chr6,1
Kinase|Structural|Chromatin,1,3,1,chr5,1
Kinase|Unclassified|DNA repair|Transcription|Unclassified|Kinase|Cell cycle,1,5,1,chr7,1
Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,1,3,1,chr14,24
Methylation|Unclassified|Kinase|Cell cycle|Chromatin|Cytoskeleton,1,6,1,chr6,1
Phosphatase|Chromatin|Cytoskeleton,1,3,1,chr13,2
Phosphatase|Chromatin|Structural,1,3,1,chr1,2
Phosphatase|Chromatin|Unclassified,1,3,1,chr11,1
Phosphatase|Chromatin|Unclassified|Cytoskeleton,1,4,1,chr1,2
Phosphatase|Structural|Chromatin|Cell cycle|Chromatin|Cell cycle|RNA processing,1,5,1,chr16,1
Phosphatase|Transcription|Chromatin,1,3,1,chr3,1
Phosphatase|Unclassified|Cell cycle|Cytoskeleton,1,4,1,chr4,1
Phosphatase|Unclassified|RNA processing|Cytoskeleton,1,4,1,chr6,1
Protein folding|Unclassified|Cytoskeleton,1,3,1,chr16,2
Proteolysis|Cytoskeleton|Chromatin|Transcription|Chromatin,1,4,1,chr13,1
Proteolysis|Cytoskeleton|Unclassified|RNA processing,1,4,1,chr10,2
Proteolysis|Unclassified|Cell adhesion|DNA repair,1,4,1,chr6,1
Proteolysis|Unclassified|Kinase,1,3,1,chr10,1
Proteolysis|Unclassified|Kinase|Cell cycle,1,4,1,chr13,1
Proteolysis|Unclassified|Kinase|Cytoskeleton|DNA repair,1,5,1,chr22,1
Proteolysis|Unclassified|RNA processing,1,3,1,chr1,2
Proteolysis|Unclassified|Structural,1,3,1,chrx,1
Proteolysis|Unclassified|Structural|Cytoskeleton,1,4,1,chr20,1
Proteolysis|Unclassified|Transcription|Cytoskeleton,1,4,1,chr2,1
RNA processing|Cell adhesion|Unclassified|Cell cycle,1,4,1,chr19,1
RNA processing|Cell cycle|Chromatin,1,3,1,chr9,1
RNA processing|Cell cycle|Unclassified|Chromatin|Cytoskeleton|DNA repair,1,6,1,chr1,2
RNA processing|Cell cycle|Unclassified|Kinase|Cell cycle|Unclassified,1,4,1,chr11,1
RNA processing|Chromatin|Cell adhesion,1,3,1,chr15,1
RNA processing|Chromatin|Cell cycle,1,3,1,chr13,1
RNA processing|Chromatin|Transcription|Chromatin,1,3,1,chr13,1
RNA processing|Chromatin|Transcription|Chromatin|RNA processing,1,3,1,chr16,1
RNA processing|Chromatin|Unclassified,1,3,1,chr17,1
RNA processing|Cytoskeleton|Unclassified|Chromatin,1,4,1,chr17,1
RNA processing|Protein folding|Unclassified|Cell cycle,1,4,1,chr1,1
RNA processing|Protein folding|Unclassified|Kinase|Cell cycle|Cytoskeleton|Transcription,1,7,1,chr3,1
RNA processing|Unclassified|Cell cycle|RNA processing,1,3,1,chr1,1
RNA processing|Unclassified|Cell cycle|Structural,1,4,1,chr4,1
RNA processing|Unclassified|Chromatin|DNA repair,1,4,1,chrx,1
RNA processing|Unclassified|Chromatin|Unclassified,1,3,1,chr2,1
RNA processing|Unclassified|Cytoskeleton|Cell adhesion,1,4,1,chr1,2
RNA processing|Unclassified|Cytoskeleton|Protein folding,1,4,1,chr12,2
RNA processing|Unclassified|Cytoskeleton|Unclassified,1,3,1,chr7,1
RNA processing|Unclassified|DNA repair|Unclassified|Kinase|RNA processing|Cell cycle,1,5,1,chr22,1
RNA processing|Unclassified|Kinase|Cell cycle,1,4,1,chr2,1
RNA processing|Unclassified|Kinase|Cell cycle|Cytoskeleton|DNA repair,1,6,1,chr15,1
RNA processing|Unclassified|Kinase|DNA repair,1,4,1,chr1,1
RNA processing|Unclassified|Kinase|Structural,1,4,1,chr6,1
RNA processing|Unclassified|Kinase|Unclassified|Cytoskeleton,1,4,1,chr5,1
RNA processing|Unclassified|RNA processing|Cytoskeleton,1,3,1,chr11,2
RNA processing|Unclassified|RNA processing|Cytoskeleton|Unclassified,1,3,1,chr12,1
RNA processing|Unclassified|Structural|Unclassified,1,3,1,chr10,1
RNA processing|Unclassified|Ubiquitin|Structural,1,4,1,chr6,1
Structural|Chromatin|RNA processing,1,3,1,chr11,1
Structural|Chromatin|Transcription,1,3,1,chr19,1
Structural|Chromatin|Transcription|Chromatin|Transcription|Chromatin|RNA processing,1,4,1,chr17,1
Structural|Phosphatase|Unclassified|Cytoskeleton,1,4,1,chr6,1
Structural|Unclassified|Cell cycle|DNA repair,1,4,1,chr9,1
Structural|Unclassified|Cytoskeleton|DNA repair,1,4,1,chr1,1
Structural|Unclassified|Cytoskeleton|Unclassified,1,3,1,chr10,1
Structural|Unclassified|Kinase,1,3,1,chr19,1
Structural|Unclassified|Kinase|Structural|Cell cycle|Unclassified,1,4,1,chr10,1
Structural|Unclassified|RNA processing,1,3,1,chr1,2
Transcription|Cell cycle|Chromatin,1,3,1,chr10,1
Transcription|Chromatin|Cell adhesion|RNA processing|Unclassified|DNA repair,1,6,1,chr12,3
Transcription|Chromatin|Cell adhesion|Transcription,1,3,1,chr1,1
Transcription|Chromatin|Cell cycle|Chromatin|Transcription|Chromatin,1,3,1,chr19,1
Transcription|Chromatin|Cell cycle|Transcription|Chromatin,1,3,1,chr16,2
Transcription|Chromatin|Cell cycle|Transcription|Chromatin|Transcription|Chromatin,1,3,1,chr14,1
Transcription|Chromatin|Cytoskeleton,1,3,1,chr12,2
Transcription|Chromatin|Cytoskeleton|Chromatin,1,3,1,chr22,1
Transcription|Chromatin|Structural|Chromatin,1,3,1,chr16,1
Transcription|Chromatin|Transcription|Cell adhesion,1,3,1,chr2,1
Transcription|Chromatin|Transcription|Cell cycle,1,3,1,chr11,3
Transcription|Chromatin|Transcription|Chromatin|Structural,1,3,1,chr7,1
Transcription|Chromatin|Transcription|Chromatin|Transcription|Chromatin|Unclassified,1,3,1,chr5,1
Transcription|Chromatin|Transcription|RNA processing,1,3,1,chr15,1
Transcription|Chromatin|Unclassified|Cell cycle,1,4,1,chrx,1
Transcription|Chromatin|Unclassified|Cytoskeleton,1,4,1,chr11,1
Transcription|Chromatin|Unclassified|Kinase,1,4,1,chr6,1
Transcription|RNA processing|Chromatin|Unclassified|Transcription,1,4,1,chr8,1
Transcription|Unclassified|Cell adhesion,1,3,1,chr12,1
Transcription|Unclassified|Chromatin|Cytoskeleton|DNA repair,1,5,1,chr5,1
Transcription|Unclassified|Cytoskeleton|DNA repair|Transcription|Unclassified,1,4,1,chr5,1
Transcription|Unclassified|Kinase|Cell cycle|Proteolysis,1,5,1,chr4,1
Transcription|Unclassified|Protein folding,1,3,1,chrx,1
Transcription|Unclassified|RNA processing|Cytoskeleton,1,4,1,chr17,1
Transport|Unclassified|Cell cycle,1,3,1,chr2,1
Ubiquitin|Chromatin|Unclassified,1,3,1,chr16,1
Ubiquitin|RNA processing|Unclassified,1,3,1,chr1,1
Ubiquitin|Unclassified|Cytoskeleton,1,3,1,chr16,2
Ubiquitin|Unclassified|Kinase,1,3,1,chr1,1
Unclassified|Cell adhesion|Cell cycle|RNA processing|Cytoskeleton|Unclassified,1,5,1,chr19,1
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle,1,3,1,chr14,128
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation,1,4,1,chr14,7
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle,1,4,1,chr14,16
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation,1,4,1,chr14,4
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,1,4,1,chr14,8
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,1,4,1,chr14,6
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,1,4,1,chr14,4
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,1,4,1,chr14,10
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,1,4,1,chr14,4
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,1,4,1,chr14,10
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,1,4,1,chr14,4
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,1,4,1,chr14,10
Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle,1,4,1,chr14,4
